ID	Symbol	Description
LOCMI08499	LOCMI08499	O44238_CIOIN mRNA, endostyle-specific
LOCMI08500	LOCMI08500	Homeobox protein Hox-B1, putative
LOCMI08501	LOCMI08501	Uncharacterized protein
LOCMI08503	LOCMI08503	longitudinals lacking isoform 6
LOCMI08504	LOCMI08504	GA25026
LOCMI08505	LOCMI08505	B3NN72_DROER GG22728
LOCMI08507	LOCMI08507	PREDICTED: probable prolyl-tRNA synthetase, mitochondrial-like isoform 2
LOCMI08509	LOCMI08509	down syndrome critical region protein, putative
LOCMI08511	LOCMI08511	PREDICTED: similar to neutral endopeptidase 24.11 isoform 2
LOCMI08517	LOCMI08517	class A rhodopsin-like G-protein coupled receptor GPRpgn, putative
LOCMI08518	LOCMI08518	Q7PV94_ANOGA AGAP012237-PA
LOCMI08519	LOCMI08519	PREDICTED: peptidyl-alpha-hydroxyglycine alpha-amidating lyase 2-like
LOCMI08521	LOCMI08521	alpha-amylase
LOCMI08524	LOCMI08524	Q7PV79_ANOGA AGAP012255-PA
LOCMI08525	LOCMI08525	C3XSG5_BRAFL Putative uncharacterized protein
LOCMI08526	LOCMI08526	PREDICTED: gamma-glutamylcyclotransferase-like isoform 1
LOCMI08527	LOCMI08527	Q173I5_AEDAE Leucyl-tRNA synthetase
LOCMI08528	LOCMI08528	ribosomal protein L13
LOCMI08529	LOCMI08529	Q16N68_AEDAE Nad dehydrogenase (Fragment)
LOCMI08531	LOCMI08531	AGAP001979-PA
LOCMI08534	LOCMI08534	B0WGY9_CULQU Putative uncharacterized protein
LOCMI08536	LOCMI08536	sugar transporter, putative
LOCMI08537	LOCMI08537	sugar transporter, putative
LOCMI08538	LOCMI08538	sugar transporter, putative
LOCMI08539	LOCMI08539	sugar transporter, putative
LOCMI08540	LOCMI08540	sugar transporter, putative
LOCMI08541	LOCMI08541	PREDICTED: similar to CG1213 CG1213-PA
LOCMI08547	LOCMI08547	Phosphatidylinositol-4-phosphate 3-kinase C2 domain-containing beta polypeptide
LOCMI08549	LOCMI08549	PREDICTED: aminoacylase-1-like
LOCMI08550	LOCMI08550	B4LZT3_DROVI GJ24612
LOCMI08553	LOCMI08553	High affinity copper uptake protein 1
LOCMI08554	LOCMI08554	B0WGH8_CULQU Putative uncharacterized protein
LOCMI08555	LOCMI08555	histone H2A
LOCMI08556	LOCMI08556	protein mothers against dpp, putative
LOCMI08557	LOCMI08557	origin recognition complex subunit 6
LOCMI08559	LOCMI08559	GA15071
LOCMI08560	LOCMI08560	Q17EP1_AEDAE Putative uncharacterized protein
LOCMI08563	LOCMI08563	PREDICTED: probable histone acetyltransferase MYST1-like
LOCMI08566	LOCMI08566	PREDICTED: nuclear protein localization protein 4 homolog
LOCMI08567	LOCMI08567	Q177R8_AEDAE Peptidyl-prolyl cis-trans isomerase (Cyclophilin)
LOCMI08568	LOCMI08568	B0XGQ5_CULQU Putative uncharacterized protein
LOCMI08570	LOCMI08570	Beta-1,4-mannosyltransferase egh
LOCMI08571	LOCMI08571	set and mynd domain-containing protein, putative
LOCMI08573	LOCMI08573	B4I5J3_DROSE GM17286
LOCMI08574	LOCMI08574	H/ACA ribonucleoprotein complex subunit 4
LOCMI08577	LOCMI08577	PREDICTED: histone deacetylase 4
LOCMI08582	LOCMI08582	Q0IF29_AEDAE Putative uncharacterized protein (Fragment)
LOCMI08584	LOCMI08584	PREDICTED: methyltransferase-like protein 14 homolog
LOCMI08585	LOCMI08585	Protein bicaudal C
LOCMI08586	LOCMI08586	B4JIU2_DROGR GH11804
LOCMI08587	LOCMI08587	E3 ubiquitin-protein ligase RNF123
LOCMI08588	LOCMI08588	PREDICTED: delta-aminolevulinic acid dehydratase-like isoform 2
LOCMI08591	LOCMI08591	similar to CG16812-PA (predicted), isoform CRA_a
LOCMI08594	LOCMI08594	PREDICTED: probable ATP-dependent RNA helicase DDX56-like
LOCMI08599	LOCMI08599	PREDICTED: metallophosphoesterase 1-like
LOCMI08600	LOCMI08600	Q7Q168_ANOGA AGAP009942-PA
LOCMI08603	LOCMI08603	PREDICTED: adenylate cyclase type 9-like
LOCMI08605	LOCMI08605	Amphiphysin
LOCMI08607	LOCMI08607	Poly(rC)-binding protein 3
LOCMI08609	LOCMI08609	PREDICTED: eukaryotic translation initiation factor 3 subunit F-like
LOCMI08611	LOCMI08611	signal transduction protein lnk-related, putative
LOCMI08612	LOCMI08612	sugar transporter, putative
LOCMI08613	LOCMI08613	beta-GRP
LOCMI08614	LOCMI08614	GDP mannose-4,6-dehydratase, putative
LOCMI08616	LOCMI08616	PREDICTED: nuclear pore complex protein Nup107-like
LOCMI08617	LOCMI08617	PREDICTED: mitochondrial carrier homolog 2
LOCMI08619	LOCMI08619	PREDICTED: cystinosin homolog isoform 2
LOCMI08620	LOCMI08620	Alanine-glyoxylate aminotransferase-like protein
LOCMI08623	LOCMI08623	B0X5D5_CULQU Putative uncharacterized protein
LOCMI08624	LOCMI08624	Q4TC52_TETNG Chromosome undetermined SCAF7053, whole genome shotgun sequence. (Fragment)
LOCMI08625	LOCMI08625	Q17CM9_AEDAE N-acetylgalactosaminyltransferase
LOCMI08627	LOCMI08627	C4WV25_ACYPI ACYPI000506 protein
LOCMI08628	LOCMI08628	Q173Q0_AEDAE Lipase
LOCMI08629	LOCMI08629	dynein beta chain, ciliary, putative
LOCMI08630	LOCMI08630	Purine nucleoside phosphorylase
LOCMI08631	LOCMI08631	B4PDE1_DROYA GE21702 (Fragment)
LOCMI08633	LOCMI08633	Sodium-coupled monocarboxylate transporter 1
LOCMI08635	LOCMI08635	B0W3S8_CULQU Liquid facets
LOCMI08636	LOCMI08636	Q5ZKC6_CHICK Putative uncharacterized protein
LOCMI08637	LOCMI08637	Q4S899_TETNG Chromosome 3 SCAF14707, whole genome shotgun sequence. (Fragment)
LOCMI08638	LOCMI08638	glutamine synthetase
LOCMI08640	LOCMI08640	G-protein signaling modulator, putative
LOCMI08641	LOCMI08641	PREDICTED: ubiquinone biosynthesis protein COQ4 homolog, mitochondrial-like
LOCMI08643	LOCMI08643	Protein IWS1-like protein
LOCMI08645	LOCMI08645	PREDICTED: regulator of chromosome condensation
LOCMI08646	LOCMI08646	PREDICTED: eukaryotic translation initiation factor 6 isoform 1
LOCMI08647	LOCMI08647	GH23114
LOCMI08651	LOCMI08651	putative secreted signaling factor WNT16
LOCMI08653	LOCMI08653	Single-strand selective monofunctional uracil DNA glycosylase
LOCMI08657	LOCMI08657	FAR-17a/AIG1-like protein
LOCMI08658	LOCMI08658	anaphase-promoting complex subunit, putative
LOCMI08659	LOCMI08659	B0W6T4_CULQU Putative uncharacterized protein
LOCMI08662	LOCMI08662	GI13260
LOCMI08663	LOCMI08663	Q177N4_AEDAE Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase
LOCMI08664	LOCMI08664	alpha-mannosidase, putative
LOCMI08665	LOCMI08665	selenophosphate synthetase 1
LOCMI08670	LOCMI08670	PREDICTED: receptor-type tyrosine-protein phosphatase R-like
LOCMI08672	LOCMI08672	SD22390p
LOCMI08686	LOCMI08686	C4WTC6_ACYPI ACYPI006840 protein
LOCMI08688	LOCMI08688	Q16US5_AEDAE Putative uncharacterized protein
LOCMI08689	LOCMI08689	PREDICTED: DNA-binding protein SMUBP-2
LOCMI08691	LOCMI08691	Alkaline phosphatase 4
LOCMI08695	LOCMI08695	PREDICTED: zinc finger BED domain-containing protein 1-like
LOCMI08696	LOCMI08696	Q5CZT0_DANRE Nxf1 protein (Fragment)
LOCMI08697	LOCMI08697	PREDICTED: zinc finger protein 729-like
LOCMI08698	LOCMI08698	PREDICTED: alpha-methyldopa hypersensitive protein-like
LOCMI08702	LOCMI08702	PREDICTED: nudix-type motif 5-like
LOCMI08703	LOCMI08703	PREDICTED: polyadenylate-binding protein 1-like isoform 1
LOCMI08704	LOCMI08704	A7UTQ3_ANOGA AGAP005504-PA
LOCMI08705	LOCMI08705	PREDICTED: ras-related protein Rap-2c-like isoform 1
LOCMI08707	LOCMI08707	PREDICTED: histone acetyltransferase Tip60
LOCMI08710	LOCMI08710	histone acetyltransferase Tip60
LOCMI08711	LOCMI08711	B3NYD9_DROER GG19727
LOCMI08713	LOCMI08713	PREDICTED: chondroadherin-like protein-like
LOCMI08715	LOCMI08715	tryptophan transporter, putative
LOCMI08716	LOCMI08716	PREDICTED: speckle-type POZ protein isoform 1
LOCMI08718	LOCMI08718	Arylsulfatase B
LOCMI08719	LOCMI08719	PREDICTED: similar to kinesin light chain 1 and
LOCMI08721	LOCMI08721	MPA3 allergen
LOCMI08723	LOCMI08723	GK16222
LOCMI08726	LOCMI08726	Q17PX0_AEDAE Putative uncharacterized protein
LOCMI08727	LOCMI08727	AN1-type zinc finger protein, putative
LOCMI08728	LOCMI08728	Rho GTPase-activating protein 20
LOCMI08736	LOCMI08736	GTP cyclohydrolase 1 feedback regulatory protein
LOCMI08737	LOCMI08737	anti-silencing protein, putative
LOCMI08738	LOCMI08738	PREDICTED: cytochrome b5 reductase 3-like
LOCMI08739	LOCMI08739	Q0KI81_DROME CG42327
LOCMI08740	LOCMI08740	Thymidine phosphorylase
LOCMI08741	LOCMI08741	B8ZZA4_HUMAN Putative uncharacterized protein NHEJ1
LOCMI08743	LOCMI08743	putative hemomucin
LOCMI08746	LOCMI08746	class A rhodopsin-like G-protein coupled receptor GPRnna13, putative
LOCMI08749	LOCMI08749	PREDICTED: solute carrier organic anion transporter family member 5A1-like
LOCMI08750	LOCMI08750	beta-mannosidase precursor, putative
LOCMI08752	LOCMI08752	PREDICTED: histone acetyltransferase type B catalytic subunit-like
LOCMI08755	LOCMI08755	Transcription initiation factor IIA subunit 2
LOCMI08757	LOCMI08757	PREDICTED: ribonuclease H1
LOCMI08764	LOCMI08764	C4WWS6_ACYPI ACYPI008879 protein
LOCMI08766	LOCMI08766	GM25548
LOCMI08767	LOCMI08767	PREDICTED: testis-expressed sequence 10 protein homolog
LOCMI08768	LOCMI08768	PREDICTED: threonyl-tRNA synthetase, cytoplasmic-like
LOCMI08769	LOCMI08769	PREDICTED: peptidyl-prolyl cis-trans isomerase B-like
LOCMI08772	LOCMI08772	PREDICTED: protein phosphatase 1B-like
LOCMI08773	LOCMI08773	Chromosome-associated kinesin KIF4A, putative
LOCMI08779	LOCMI08779	ubiquitin/ribosomal protein S27Ae fusion protein
LOCMI08782	LOCMI08782	B7QGZ7_IXOSC Ankyrin repeat-containing protein
LOCMI08783	LOCMI08783	PREDICTED: THAP domain-containing protein 2-like
LOCMI08784	LOCMI08784	PREDICTED: glutaredoxin-related protein 5, mitochondrial-like
LOCMI08785	LOCMI08785	Peptidase cysteine/serine, trypsin-like
LOCMI08786	LOCMI08786	beta-glucosidase
LOCMI08789	LOCMI08789	PREDICTED: similar to Est1p-like protein B
LOCMI08790	LOCMI08790	Myotubularin-related protein 3
LOCMI08791	LOCMI08791	histone deacetylase, putative
LOCMI08792	LOCMI08792	Q17PW3_AEDAE Putative uncharacterized protein
LOCMI08793	LOCMI08793	PREDICTED: small nuclear ribonucleoprotein Sm D3-like
LOCMI08796	LOCMI08796	Zinc finger protein JACKDAW
LOCMI08798	LOCMI08798	GI11871
LOCMI08799	LOCMI08799	B3RJD8_TRIAD Putative uncharacterized protein
LOCMI08803	LOCMI08803	Q29H08_DROPS GA10742
LOCMI08804	LOCMI08804	Q16II4_AEDAE Putative uncharacterized protein
LOCMI08805	LOCMI08805	Transmembrane 9 superfamily member 3
LOCMI08807	LOCMI08807	carboxypeptidase
LOCMI08808	LOCMI08808	carboxypeptidase
LOCMI08809	LOCMI08809	carboxypeptidase
LOCMI08812	LOCMI08812	zinc finger protein 862
LOCMI08815	LOCMI08815	WD and tetratricopeptide repeats protein, putative
LOCMI08817	LOCMI08817	Q16FN5_AEDAE Zinc finger protein
LOCMI08818	LOCMI08818	PREDICTED: phospholysine phosphohistidine inorganic pyrophosphate phosphatase-like
LOCMI08819	LOCMI08819	B4JFI7_DROGR GH18258
LOCMI08822	LOCMI08822	tRNA guanosine-2'-O-methyltransferase TRM11-like protein
LOCMI08824	LOCMI08824	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 precursor
LOCMI08826	LOCMI08826	PREDICTED: allantoinase, mitochondrial-like
LOCMI08834	LOCMI08834	Muskelin, putative
LOCMI08838	LOCMI08838	PREDICTED: CG10254-like
LOCMI08839	LOCMI08839	Ubiquitin-conjugating BIR-domain enzyme
LOCMI08840	LOCMI08840	tetraspanin 96F
LOCMI08842	LOCMI08842	PREDICTED: kelch-like protein 18-like
LOCMI08843	LOCMI08843	PREDICTED: scaffold protein salvador-like
LOCMI08850	LOCMI08850	PREDICTED: e3 ubiquitin-protein ligase SIAH2-like
LOCMI08861	LOCMI08861	Sodium-coupled monocarboxylate transporter 1
LOCMI08862	LOCMI08862	PREDICTED: sodium-coupled monocarboxylate transporter 1-like
LOCMI08863	LOCMI08863	Sodium-coupled monocarboxylate transporter 1
LOCMI08865	LOCMI08865	PREDICTED: UDP-glucose 6-dehydrogenase-like
LOCMI08866	LOCMI08866	GL24645
LOCMI08867	LOCMI08867	mucin-like protein 1
LOCMI08868	LOCMI08868	B0X3I8_CULQU Putative uncharacterized protein
LOCMI08869	LOCMI08869	AGAP004851-PA
LOCMI08871	LOCMI08871	SWI/SNF-related matrix-associated actin-dependent regulator chromatin subfamily E member 1
LOCMI08873	LOCMI08873	translational activator GCN1, putative
LOCMI08875	LOCMI08875	A4UA14_VESBA Dipeptidylpeptidase IV
LOCMI08876	LOCMI08876	PREDICTED: protein polybromo-1-like
LOCMI08878	LOCMI08878	Peroxisomal membrane protein PMP34, putative
LOCMI08879	LOCMI08879	A7RQR7_NEMVE Predicted protein (Fragment)
LOCMI08885	LOCMI08885	Differentially expressed in FDCP 6-like protein
LOCMI08886	LOCMI08886	Q17BV9_AEDAE Ubiquitin-protein ligase
LOCMI08887	LOCMI08887	gamma-glutamyl hydrolase, putative
LOCMI08888	LOCMI08888	Q7PRU4_ANOGA AGAP000426-PA
LOCMI08890	LOCMI08890	GE19178
LOCMI08892	LOCMI08892	PREDICTED: nose resistant to fluoxetine protein 6-like
LOCMI08895	LOCMI08895	PREDICTED: cryptochrome-1
LOCMI08898	LOCMI08898	F-box/LRR-repeat protein 2
LOCMI08899	LOCMI08899	Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase
LOCMI08902	LOCMI08902	PREDICTED: midasin-like
LOCMI08904	LOCMI08904	discs large protein, putative
LOCMI08905	LOCMI08905	Sentrin-specific protease, putative
LOCMI08906	LOCMI08906	Fatty-acid amide hydrolase 2
LOCMI08907	LOCMI08907	GG11021
LOCMI08908	LOCMI08908	Tubulin alpha chain
LOCMI08909	LOCMI08909	Q171Y1_AEDAE Putative uncharacterized protein
LOCMI08911	LOCMI08911	beta-glucosidase
LOCMI08912	LOCMI08912	beta-glucosidase
LOCMI08913	LOCMI08913	Q179D1_AEDAE Putative uncharacterized protein
LOCMI08914	LOCMI08914	B4KWW3_DROMO GI12007
LOCMI08915	LOCMI08915	B7QLU2_IXOSC 20-hydroxysteroid dehydrogenase, putative
LOCMI08916	LOCMI08916	B1H1M7_DANRE Xpo7 protein
LOCMI08917	LOCMI08917	Serine protease easter
LOCMI08927	LOCMI08927	Solute carrier family 2, facilitated glucose transporter member 5
LOCMI08929	LOCMI08929	TPA: putative glycoprotein hormone-beta5
LOCMI08930	LOCMI08930	Cytochrome P450
LOCMI08932	LOCMI08932	C3YIJ3_BRAFL Putative uncharacterized protein
LOCMI08935	LOCMI08935	PREDICTED: annexin-B9-like isoform 1
LOCMI08940	LOCMI08940	PREDICTED: sodium-dependent neutral amino acid transporter B(0)AT2-like
LOCMI08941	LOCMI08941	PREDICTED: similar to AGAP011812-PA, partial
LOCMI08942	LOCMI08942	serine protease-like protein
LOCMI08944	LOCMI08944	serine protease-like protein
LOCMI08947	LOCMI08947	DNA topoisomerase 1
LOCMI08950	LOCMI08950	PREDICTED: acyl-CoA synthetase family member 4-like
LOCMI08951	LOCMI08951	Q17GU4_AEDAE Putative uncharacterized protein
LOCMI08952	LOCMI08952	endothelin-converting enzyme, putative
LOCMI08953	LOCMI08953	microsomal dipeptidase
LOCMI08954	LOCMI08954	PREDICTED: retinol dehydrogenase 11-like
LOCMI08955	LOCMI08955	PREDICTED: retinol dehydrogenase 11-like
LOCMI08957	LOCMI08957	PREDICTED: caspase-1-like isoform 2
LOCMI08959	LOCMI08959	BTB/POZ domain-containing protein KCTD9, putative
LOCMI08960	LOCMI08960	Clathrin interactor 1
LOCMI08961	LOCMI08961	PREDICTED: nucleolar protein 56-like
LOCMI08967	LOCMI08967	peroxidasin
LOCMI08968	LOCMI08968	PREDICTED: copper homeostasis protein cutC homolog
LOCMI08969	LOCMI08969	B7ZVE4_DANRE Novel protein similar to vertebrate solute carrier family 25, member 35 (SLC25A35)
LOCMI08970	LOCMI08970	YEATS domain-containing protein 4
LOCMI08975	LOCMI08975	AGAP002348-PA
LOCMI08976	LOCMI08976	Q7Q7Y1_ANOGA AGAP004961-PA (Fragment)
LOCMI08980	LOCMI08980	Q4SLJ6_TETNG Chromosome 15 SCAF14556, whole genome shotgun sequence. (Fragment)
LOCMI08981	LOCMI08981	PREDICTED: similar to regulatory factor X-associated ankyrin-containing protein, putative
LOCMI08982	LOCMI08982	PREDICTED: minor histocompatibility antigen H13-like
LOCMI08989	LOCMI08989	Q16VL2_AEDAE Tmc6 protein (Evin)
LOCMI08991	LOCMI08991	Fibronectin, type III IPR008957; Fibronectin type III domain
LOCMI08992	LOCMI08992	PREDICTED: leucine-rich repeat neuronal protein 2-like
LOCMI08993	LOCMI08993	Q27348_LUCLA Luciferase
LOCMI08994	LOCMI08994	Adapter molecule Crk
LOCMI08995	LOCMI08995	glucose-6-phosphate 1-dehydrogenase
LOCMI08996	LOCMI08996	PREDICTED: protein artemis-like
LOCMI08997	LOCMI08997	B7S909_9HYME Putative uncharacterized protein
LOCMI08998	LOCMI08998	growth factor independent 1 transcription repressor
LOCMI08999	LOCMI08999	Q17PA4_AEDAE Epoxide hydrolase
LOCMI09000	LOCMI09000	Poly
LOCMI09002	LOCMI09002	Q17LB1_AEDAE Putative uncharacterized protein
LOCMI09009	LOCMI09009	B7QLU2_IXOSC 20-hydroxysteroid dehydrogenase, putative
LOCMI09013	LOCMI09013	PREDICTED: exocyst complex component 6B-like isoform 2
LOCMI09015	LOCMI09015	mitochondrial carrier protein
LOCMI09017	LOCMI09017	B4JFE8_DROGR GH18277
LOCMI09019	LOCMI09019	Cell division cycle and apoptosis regulator protein 1
LOCMI09020	LOCMI09020	B3GCD7_GRYPE Peptidyl-prolyl cis-trans isomerase (Fragment)
LOCMI09022	LOCMI09022	rest corepressor corest, protein, putative
LOCMI09023	LOCMI09023	unnamed protein product
LOCMI09024	LOCMI09024	RING finger protein 113A
LOCMI09025	LOCMI09025	Q7PGV2_ANOGA AGAP003205-PA
LOCMI09028	LOCMI09028	50S ribosomal protein L20, putative
LOCMI09033	LOCMI09033	Q7Q9G7_ANOGA AGAP005243-PA
LOCMI09034	LOCMI09034	B4GBH3_DROPE GL10516
LOCMI09035	LOCMI09035	PREDICTED: f-box/LRR-repeat protein 2-like
LOCMI09036	LOCMI09036	MOG interacting and ectopic P-granules protein 1
LOCMI09037	LOCMI09037	MOG interacting and ectopic P-granules protein 1
LOCMI09038	LOCMI09038	Q1HPY9_BOMMO Peroxisomal membrane protein PMP22
LOCMI09040	LOCMI09040	C4WUB7_ACYPI ACYPI005820 protein
LOCMI09041	LOCMI09041	rho-type guanine exchange factor, isoform C
LOCMI09043	LOCMI09043	putative homocysteine S-methyltransferase isoform 1
LOCMI09044	LOCMI09044	Q2F5Q8_BOMMO Homocysteine S-methyltransferase
LOCMI09045	LOCMI09045	dimethyladenosine transferase
LOCMI09047	LOCMI09047	PREDICTED: iron-sulfur cluster assembly 2 homolog, mitochondrial-like
LOCMI09049	LOCMI09049	Tryptophanyl-tRNA synthetase, putative
LOCMI09050	LOCMI09050	B4K7S0_DROMO GI10539
LOCMI09051	LOCMI09051	PREDICTED: cleavage stimulation factor subunit 1-like
LOCMI09052	LOCMI09052	PREDICTED: solute carrier family 35 member F5-like
LOCMI09053	LOCMI09053	protein MLP1, putative
LOCMI09058	LOCMI09058	PREDICTED: rhabdoid tumor deletion region protein 1-like
LOCMI09059	LOCMI09059	PREDICTED: zinc finger protein 729-like
LOCMI09060	LOCMI09060	Ubiquitin conjugation factor E4 B
LOCMI09063	LOCMI09063	Putative ubiquitin carboxyl-terminal hydrolase FAF-X
LOCMI09064	LOCMI09064	B7PQ19_IXOSC Protein phosphatase PP2A, putative
LOCMI09067	LOCMI09067	PREDICTED: kelch-like ECH-associated protein 1-like
LOCMI09068	LOCMI09068	PREDICTED: nose resistant to fluoxetine protein 6-like
LOCMI09069	LOCMI09069	putative synoviolin
LOCMI09076	LOCMI09076	GJ10131
LOCMI09077	LOCMI09077	GS1-like protein
LOCMI09089	LOCMI09089	dual 3',5'-cyclic-AMP and -GMP phosphodiesterase, putative
LOCMI09091	LOCMI09091	Tripartite motif-containing protein 37
LOCMI09093	LOCMI09093	PREDICTED: motile sperm domain-containing protein 1-like isoform 1
LOCMI09094	LOCMI09094	eukaryotic translation initiation factor 4E type, putative
LOCMI09100	LOCMI09100	p31A
LOCMI09101	LOCMI09101	Q171V5_AEDAE ATP-dependent RNA and DNA helicase
LOCMI09105	LOCMI09105	PREDICTED: similar to acid alpha-glucosidase
LOCMI09106	LOCMI09106	GG24633
LOCMI09108	LOCMI09108	A3FMR3_BIOGL Pol-like protein
LOCMI09109	LOCMI09109	PREDICTED: ubiquitin carboxyl-terminal hydrolase 32-like isoform 1
LOCMI09110	LOCMI09110	B3LX08_DROAN GF16309
LOCMI09115	LOCMI09115	GF20221
LOCMI09117	LOCMI09117	DNA-repair protein xrcc1, putative
LOCMI09118	LOCMI09118	Nipped-B-like protein
LOCMI09120	LOCMI09120	PREDICTED: non-specific lipid-transfer protein-like isoform 1
LOCMI09127	LOCMI09127	PREDICTED: bridging integrator 3 homolog
LOCMI09128	LOCMI09128	Uroporphyrinogen-III synthase
LOCMI09129	LOCMI09129	Melanotransferrin
LOCMI09131	LOCMI09131	B5DZ01_DROPS GA24333
LOCMI09134	LOCMI09134	B3LY48_DROAN GF16262
LOCMI09135	LOCMI09135	Q56FH5_LYSTE Ribosomal protein L8
LOCMI09139	LOCMI09139	PREDICTED: protein GPR107-like
LOCMI09141	LOCMI09141	PREDICTED: contactin-like
LOCMI09143	LOCMI09143	PREDICTED: ELAV-like protein 3-like isoform 3
LOCMI09144	LOCMI09144	ribosomal protein L10
LOCMI09146	LOCMI09146	PREDICTED: mitotic checkpoint protein BUB3-like
LOCMI09147	LOCMI09147	PREDICTED: polycomb group RING finger protein 3-like
LOCMI09149	LOCMI09149	PREDICTED: ras guanyl-releasing protein 3
LOCMI09150	LOCMI09150	PREDICTED: AP-2 complex subunit sigma-like
LOCMI09151	LOCMI09151	GI12964
LOCMI09161	LOCMI09161	B7PS66_IXOSC RNAse H, putative
LOCMI09162	LOCMI09162	Zinc finger, C2CH-type
LOCMI09165	LOCMI09165	AGAP007257-PA
LOCMI09166	LOCMI09166	A3KMF8_HUMAN UPB1 protein
LOCMI09167	LOCMI09167	C3Z999_BRAFL Putative uncharacterized protein (Fragment)
LOCMI09168	LOCMI09168	PREDICTED: probable ATP-dependent RNA helicase DDX52-like
LOCMI09175	LOCMI09175	PREDICTED: synaptotagmin-7-like
LOCMI09176	LOCMI09176	Rho GTPase-activating protein 5
LOCMI09177	LOCMI09177	Zinc finger protein 112-like protein
LOCMI09179	LOCMI09179	PREDICTED: IQ domain-containing protein K-like
LOCMI09180	LOCMI09180	Q17KI3_AEDAE Serine protease
LOCMI09182	LOCMI09182	PREDICTED: phosphoribosylformylglycinamidine synthase-like
LOCMI09183	LOCMI09183	TPA_inf: BTB/POZ and Kelch domain-containing protein
LOCMI09188	LOCMI09188	RNA-binding protein 5
LOCMI09192	LOCMI09192	Q16UM0_AEDAE Sodium/dicarboxylate cotransporter, putative
LOCMI09197	LOCMI09197	B7Q0F5_IXOSC Thiol-disulfide isomerase, putative
LOCMI09201	LOCMI09201	B4JX59_DROGR GH17886
LOCMI09203	LOCMI09203	Oxysterol-binding protein, putative
LOCMI09206	LOCMI09206	PREDICTED: JNK-interacting protein 1
LOCMI09209	LOCMI09209	Glycerophosphodiester phosphodiesterase domain-containing protein 1
LOCMI09211	LOCMI09211	RNA m5u methyltransferase
LOCMI09214	LOCMI09214	Q16KT2_AEDAE Rrp4
LOCMI09215	LOCMI09215	PREDICTED: Golgi reassembly-stacking protein 1-like
LOCMI09216	LOCMI09216	PREDICTED: eukaryotic translation initiation factor 2 subunit 2-like
LOCMI09217	LOCMI09217	gamma-aminobutyric-acid receptor alpha-2 subunit precursor, putative
LOCMI09218	LOCMI09218	Q16N63_AEDAE Putative uncharacterized protein (Fragment)
LOCMI09220	LOCMI09220	PREDICTED: LOW QUALITY PROTEIN: mitochondrial-processing peptidase subunit alpha-like
LOCMI09221	LOCMI09221	PREDICTED: protein crumbs-like
LOCMI09222	LOCMI09222	PREDICTED: THAP domain-containing protein 4-like
LOCMI09224	LOCMI09224	Q1HRE3_AEDAE Sulfotransferase
LOCMI09225	LOCMI09225	Sulfotransferase family cytosolic 1B member 1
LOCMI09232	LOCMI09232	C3XX63_BRAFL Putative uncharacterized protein
LOCMI09234	LOCMI09234	PREDICTED: ras-like GTP-binding protein Rho1
LOCMI09235	LOCMI09235	histone H3 methyltransferase, putative
LOCMI09237	LOCMI09237	DEAD box ATP-dependent RNA helicase, putative
LOCMI09238	LOCMI09238	Q9VN49_DROME CG31534, isoform A
LOCMI09239	LOCMI09239	PREDICTED: ubiquitin-conjugating enzyme E2 H-like
LOCMI09241	LOCMI09241	Cullin-5, putative
LOCMI09242	LOCMI09242	PREDICTED: protein sarah-like
LOCMI09243	LOCMI09243	B4H302_DROPE GL13431
LOCMI09244	LOCMI09244	NSFL1 cofactor p47
LOCMI09245	LOCMI09245	B4KUU2_DROMO GI13730
LOCMI09247	LOCMI09247	Q6IQD6_DANRE Zgc:86811
LOCMI09248	LOCMI09248	C3XVD9_BRAFL Putative uncharacterized protein
LOCMI09249	LOCMI09249	protein disulfide-isomerase
LOCMI09250	LOCMI09250	AGAP008730-PA
LOCMI09251	LOCMI09251	cxpwmw03
LOCMI09254	LOCMI09254	PREDICTED: chaoptin-like
LOCMI09257	LOCMI09257	male sterility domain-containing protein, putative
LOCMI09258	LOCMI09258	tyrosine-protein kinase transforming protein FPS, putative
LOCMI09259	LOCMI09259	B4GVX8_DROPE GL14738
LOCMI09265	LOCMI09265	Host cell factor
LOCMI09266	LOCMI09266	zinc finger protein, putative
LOCMI09268	LOCMI09268	B7PJS4_IXOSC Putative uncharacterized protein
LOCMI09269	LOCMI09269	PREDICTED: 40S ribosomal protein S16
LOCMI09270	LOCMI09270	synembryn-A, putative
LOCMI09272	LOCMI09272	PREDICTED: afadin-like
LOCMI09273	LOCMI09273	Sentrin-specific protease 1
LOCMI09276	LOCMI09276	AT hook, DNA-binding motif IPR020478; AT hook-like
LOCMI09278	LOCMI09278	Q8MI72_PIG Complement regulator factor H
LOCMI09279	LOCMI09279	Organic cation transporter protein
LOCMI09281	LOCMI09281	PREDICTED: serine/threonine-protein phosphatase 6 catalytic subunit-like
LOCMI09283	LOCMI09283	beta-hexosaminidase beta chain precursor, putative
LOCMI09286	LOCMI09286	B7P8T7_IXOSC Suppressor of potassium transport defect, putative
LOCMI09289	LOCMI09289	Sorting nexin-4
LOCMI09292	LOCMI09292	Solute carrier family 12 member 4
LOCMI09293	LOCMI09293	Q2L9S5_BOMMO Asparagine synthetase
